ID,Instrumento,Situação,cnpjFornecedor,FornecedorNome,Fornecedor,NUP,dataInicio,dataFim,valorContrato,deducoesPermitidas
119156,00067/2021,Ativo,05.775.501/0001-63,VESSEL COMERCIO E AUTOMACAO L...,05.775.501/0001-63 - VESSEL COMERCIO E AUTOMACAO L...,63014.000476/2021-44,20/10/2021,20/10/2026,"R$ 17.247.524,52",
840144,00015/2026,Ativo,07.385.089/0001-09,GP EMISSAO INSTANTANEA E GEST...,07.385.089/0001-09 - GP EMISSAO INSTANTANEA E GEST...,63079.000062/2023-22,25/03/2026,25/03/2030,"R$ 86.400,03",
589731,00066/2025,Ativo,37.476.790/0001-96,MARCOS PAULO ROSA DA SILVA,37.476.790/0001-96 - MARCOS PAULO ROSA DA SILVA,63014003963/2025-92,03/07/2025,28/06/2026,"R$ 790.000,00",
835076,00136/2025,Ativo,01.092.686/0023-66,JOHNSON CONTROLS BE DO BRASIL...,01.092.686/0023-66 - JOHNSON CONTROLS BE DO BRASIL...,63014.052700/2025-15,16/03/2026,16/03/2031,"R$ 23.884.083,08",
834723,00002/2026,Ativo,00.394.502/0091-09,SECRETARIA GERAL DA MARINHA,00.394.502/0091-09 - SECRETARIA GERAL DA MARINHA,63014.000305/2026-20,11/03/2026,11/03/2029,"R$ 0,00",
317095,00130/2024,Ativo,33.220.880/0001-60,EBSE ENGENHARIA DE SOLUCOES S...,33.220.880/0001-60 - EBSE ENGENHARIA DE SOLUCOES S...,63014.008604/2024-41,25/09/2024,25/09/2026,"R$ 40.649.000,00",
131125,00106/2021,Ativo,33.409.921/0001-61,UTIL REFRIGERACAO LTDA,33.409.921/0001-61 - UTIL REFRIGERACAO LTDA,63014.000254/2021-21,05/01/2022,05/01/2027,"R$ 4.441.062,42",
827903,00022/2026,Ativo,19.696.840/0001-69,ELETRICANAVAL SERVICOS TECNIC...,19.696.840/0001-69 - ELETRICANAVAL SERVICOS TECNIC...,63014.051616/2025-76,09/03/2026,09/03/2027,"R$ 835.895,49",
827757,00141/2025,Ativo,05.777.956/0001-18,TORSOLDA REPAROS NAVAIS E IND...,05.777.956/0001-18 - TORSOLDA REPAROS NAVAIS E IND...,63014.010564/2024-05,06/03/2026,06/03/2027,"R$ 3.553.000,00",
820806,00020/2026,Ativo,17.891.025/0001-25,BRASLIC COMERCIO DE PRODUTOS...,17.891.025/0001-25 - BRASLIC COMERCIO DE PRODUTOS...,63014.052989/2025-64,27/02/2026,27/06/2026,"R$ 901.910,00",
137092,00002/2022,Ativo,02.962.068/0001-87,TURBO BRASIL S.A.,02.962.068/0001-87 - TURBO BRASIL S.A.,63014.001154/2021-12,21/02/2022,21/02/2027,"R$ 10.844.056,86",
479217,00006/2025,Ativo,06.219.530/0001-01,NORTE SHOPPING BRASIL LTDA,06.219.530/0001-01 - NORTE SHOPPING BRASIL LTDA,63014.009532/2024-59,27/02/2025,27/02/2027,"R$ 16.683.040,52",
478938,00012/2025,Ativo,33.798.026/0001-86,FUNDACAO DE ESTUDOS DO MAR,33.798.026/0001-86 - FUNDACAO DE ESTUDOS DO MAR,63014.000745/2025-04,26/02/2025,25/02/2027,"R$ 17.744.495,44",
811632,00016/2026,Ativo,47.865.670/0006-49,EQUIPA MAQUINAS E UTENSILIOS...,47.865.670/0006-49 - EQUIPA MAQUINAS E UTENSILIOS...,63014.007380/2025-31,12/02/2026,12/02/2027,"R$ 98.400,00",
134166,00001/2022,Ativo,02.962.068/0001-87,TURBO BRASIL S.A.,02.962.068/0001-87 - TURBO BRASIL S.A.,63014.000372/2021-30,27/01/2022,27/01/2027,"R$ 2.227.162,75",
134717,00116/2021,Ativo,73.826.752/0001-80,CYLTEST ENGENHARIA DE CILINDR...,73.826.752/0001-80 - CYLTEST ENGENHARIA DE CILINDR...,63014.000276/2021-91,02/02/2022,02/02/2027,"R$ 1.305.668,23",
802498,00140/2025,Ativo,03.992.117/0001-97,"JH2P-ENGENHARIA, CONSTRUCAO E...","03.992.117/0001-97 - JH2P-ENGENHARIA, CONSTRUCAO E...",63014.053274/2025-29,03/02/2026,06/08/2026,"R$ 1.131.272,85",
794887,00142/2025,Ativo,06.219.530/0001-01,NORTE SHOPPING BRASIL LTDA,06.219.530/0001-01 - NORTE SHOPPING BRASIL LTDA,63014.051220/2025-29,27/01/2026,22/01/2027,"R$ 1.490.800,00",
696653,00098/2025,Ativo,33.831.762/0001-99,ABC IMPORTS LTDA,33.831.762/0001-99 - ABC IMPORTS LTDA,63014.005805/2025-77,06/11/2025,04/02/2026,"R$ 191.281,00",
795316,00008/2026,Ativo,08.194.579/0001-82,LEANDRO LUIZ LEAL SILVA,08.194.579/0001-82 - LEANDRO LUIZ LEAL SILVA,63014.052475/2025-17,28/01/2026,28/03/2026,"R$ 121.900,00",
106983,00042/2021,Ativo,11.762.950/0001-70,NAUTA MANOBRAS MARITIMAS LTDA,11.762.950/0001-70 - NAUTA MANOBRAS MARITIMAS LTDA,63014.002426/2020-11,01/07/2021,01/07/2026,"R$ 2.462.961,74",
369537,00032/2024,Ativo,02.807.845/0001-19,ROMAO TECNOLOGIAS INDUSTRIAIS...,02.807.845/0001-19 - ROMAO TECNOLOGIAS INDUSTRIAIS...,63014.005674/2024-47,20/12/2024,16/12/2026,"R$ 51.200,00",
312047,00125/2024,Ativo,06.219.530/0001-01,NORTE SHOPPING BRASIL LTDA,06.219.530/0001-01 - NORTE SHOPPING BRASIL LTDA,"6,30140043952025E+016",13/09/2024,25/06/2026,"R$ 2.489.949,64",
471917,00133/2024,Rescindido,16.852.312/0001-63,TRIBOLTEC ENGENHARIA INDUSTRI...,16.852.312/0001-63 - TRIBOLTEC ENGENHARIA INDUSTRI...,63014.007356/2024-11,19/02/2025,18/12/2025,"R$ 1.534.420,68",
94012,00192/2020,Ativo,33.220.880/0001-60,EBSE ENGENHARIA DE SOLUCOES S...,33.220.880/0001-60 - EBSE ENGENHARIA DE SOLUCOES S...,63014.003347/2019-23,18/12/2020,18/12/2026,"R$ 2.103.140,54",
126712,00094/2021,Ativo,05.775.501/0001-63,VESSEL COMERCIO E AUTOMACAO L...,05.775.501/0001-63 - VESSEL COMERCIO E AUTOMACAO L...,63014.002188/2020-43,09/12/2021,09/12/2026,"R$ 10.879.916,91",
277316,00030/2024,Ativo,06.219.530/0001-01,NORTE SHOPPING BRASIL LTDA,06.219.530/0001-01 - NORTE SHOPPING BRASIL LTDA,63014.002347/2024-96,05/06/2024,31/07/2026,"R$ 17.577.416,96",
132133,00109/2021,Ativo,02.807.845/0001-19,ROMAO TECNOLOGIAS INDUSTRIAIS...,02.807.845/0001-19 - ROMAO TECNOLOGIAS INDUSTRIAIS...,63014.004375/2019-28,17/12/2021,17/12/2026,"R$ 11.564.578,40",
578321,00044/2025,Ativo,36.176.600/0001-52,WARTSILA BRASIL LTDA.,36.176.600/0001-52 - WARTSILA BRASIL LTDA.,63014.002167/2025-32,14/05/2025,13/05/2026,"R$ 4.141.907,05",
373451,00166/2024,Ativo,01.898.632/0001-87,PRESTENAVI SERVICOS TECNICOS...,01.898.632/0001-87 - PRESTENAVI SERVICOS TECNICOS...,"6,30140108252025E+016",13/12/2024,03/12/2026,"R$ 8.886.406,66",
716051,00095/2025,Ativo,31.667.298/0001-11,TRANSHIP TRANSPORTES MARITIMO...,31.667.298/0001-11 - TRANSHIP TRANSPORTES MARITIMO...,63014.006925/2025-91,12/11/2025,08/09/2026,"R$ 7.700.000,00",
124218,00145/2019,Ativo,61.074.175/0001-38,MAPFRE SEGUROS GERAIS S.A.,61.074.175/0001-38 - MAPFRE SEGUROS GERAIS S.A.,63014.002129/2019-31,13/11/2019,13/11/2023,"R$ 1.009.941,18",
710565,00109/2025,Ativo,60.014.170/0001-57,MERIDIAN TECH SOLUCOES INTEGR...,60.014.170/0001-57 - MERIDIAN TECH SOLUCOES INTEGR...,63014.050634/2025-31,11/11/2025,09/02/2026,"R$ 10.991,60",
708889,00103/2025,Ativo,16.756.723/0001-55,FUJI METALOCK BRASIL LTDA,16.756.723/0001-55 - FUJI METALOCK BRASIL LTDA,63014.051280/2025-41,10/11/2025,10/03/2026,"R$ 309.318,60",
698093,00094/2025,Ativo,34.455.724/0001-41,AREMAR MIX COMERCIO E MANUTEN...,34.455.724/0001-41 - AREMAR MIX COMERCIO E MANUTEN...,63014.007721/2025-78,29/10/2025,29/10/2026,"R$ 5.477.000,00",
341249,00120/2024,Ativo,18.025.536/0001-27,FUNDACAO DE PESQUISA E ASSESS...,18.025.536/0001-27 - FUNDACAO DE PESQUISA E ASSESS...,63014.008288/2024-15,18/10/2024,18/12/2025,"R$ 21.600,00",
96286,00008/2021,Ativo,48.600.191/0001-59,ROLLS-ROYCE SOLUTIONS BRASIL...,48.600.191/0001-59 - ROLLS-ROYCE SOLUTIONS BRASIL...,63014.003297/2020-88,26/03/2021,26/03/2026,"R$ 34.992.337,51",
599826,00065/2025,Ativo,01.891.745/0001-50,ADRIK MATERIAIS E CONSTRUCOES...,01.891.745/0001-50 - ADRIK MATERIAIS E CONSTRUCOES...,63014.006774/2024-91,09/06/2025,20/01/2026,"R$ 788.737,11",
122397,00110/2020,Ativo,32.550.980/0001-92,TRANSUNIVERSAL PINTURAS E ANT...,32.550.980/0001-92 - TRANSUNIVERSAL PINTURAS E ANT...,63014.006137/2019-57,29/10/2020,29/10/2026,"R$ 1.978.166,93",
313218,00128/2024,Ativo,39.526.141/0001-88,BLOWERTEC SOLUCOES INDUSTRIAI...,39.526.141/0001-88 - BLOWERTEC SOLUCOES INDUSTRIAI...,"6,30140042532024E+016",17/09/2024,13/01/2026,"R$ 2.599.999,99",
323052,00135/2024,Ativo,06.219.530/0001-01,NORTE SHOPPING BRASIL LTDA,06.219.530/0001-01 - NORTE SHOPPING BRASIL LTDA,"6,30140047962024E+016",10/10/2024,10/10/2026,"R$ 13.846.045,00",
324868,00053/2024,Ativo,48.111.595/0003-40,WOODWARD COMERCIO DE SISTEMAS...,48.111.595/0003-40 - WOODWARD COMERCIO DE SISTEMAS...,63014.003350/2024-74,16/10/2024,24/02/2026,"R$ 586.748,58",
106307,00024/2021,Ativo,00.064.702/0003-09,SKM ELETRO ELETRONICA LTDA,00.064.702/0003-09 - SKM ELETRO ELETRONICA LTDA,63014.004377/2019-17,25/06/2021,25/06/2026,"R$ 24.793.548,49",
144809,00078/2021,Ativo,36.176.600/0016-39,WARTSILA BRASIL LTDA.,36.176.600/0016-39 - WARTSILA BRASIL LTDA.,63014.001358/2021-53,06/05/2022,06/05/2026,"R$ 19.539.279,98",
116838,00082/2021,Ativo,06.113.673/0001-34,HIDROSHIP SERVICOS LTDA,06.113.673/0001-34 - HIDROSHIP SERVICOS LTDA,63014.000253/2020-04,29/09/2021,29/09/2026,"R$ 3.115.107,04",
178679,00002/2023,Ativo,08.659.240/0001-04,LAUSHER COMERCIO E SERVICOS L...,08.659.240/0001-04 - LAUSHER COMERCIO E SERVICOS L...,63014.003062/2021-77,12/01/2023,12/05/2023,"R$ 26.628,30",
236405,00130/2023,Ativo,27.819.676/0001-68,NANO BITS SERVICOS ESPECIALIZ...,27.819.676/0001-68 - NANO BITS SERVICOS ESPECIALIZ...,23327.253892.2022-86,19/12/2023,19/12/2024,"R$ 423.633,22",
657861,00077/2025,Ativo,01.382.559/0001-96,PENSALAB EQUIPAMENTOS INDUSTR...,01.382.559/0001-96 - PENSALAB EQUIPAMENTOS INDUSTR...,63014.002665/2025-85,22/09/2025,22/09/2026,"R$ 638.894,09",
654629,00087/2025,Ativo,05.811.776/0001-05,STAHL TALHAS EQUIPAMENTOS DE...,05.811.776/0001-05 - STAHL TALHAS EQUIPAMENTOS DE...,63014.011631/2024-09,18/09/2025,26/04/2026,"R$ 1.164.950,00",
655326,00084/2025,Ativo,12.010.683/0001-47,METALURGICA FUNDIBRONZE FUNDI...,12.010.683/0001-47 - METALURGICA FUNDIBRONZE FUNDI...,63014.007276/2025-46,11/09/2025,10/12/2025,"R$ 79.502,50",
654587,00085/2025,Ativo,21.137.860/0001-41,PROSPECTA CONSTRUCAO REFORMAS...,21.137.860/0001-41 - PROSPECTA CONSTRUCAO REFORMAS...,63014.007347/2025-19,18/09/2025,13/09/2026,"R$ 7.424.582,06",
654354,00082/2025,Ativo,33.831.762/0001-99,ABC IMPORTS LTDA,33.831.762/0001-99 - ABC IMPORTS LTDA,63014.005805/2025-77,18/09/2025,17/12/2025,"R$ 265.200,00",
649393,00056/2025,Ativo,34.151.100/0009-98,SOTREQ S/A,34.151.100/0009-98 - SOTREQ S/A,63014.001102/2025-70,04/09/2025,04/09/2030,"R$ 41.724.345,16",
647882,00080/2025,Ativo,91.233.635/0001-94,INTERPUMP HYDRAULICS BRASIL -...,91.233.635/0001-94 - INTERPUMP HYDRAULICS BRASIL -...,63014.006892/2025-80,11/09/2025,10/12/2025,"R$ 55.000,00",
645439,00083/2025,Ativo,09.522.104/0001-30,TECH MINING IMPORTACAO E COME...,09.522.104/0001-30 - TECH MINING IMPORTACAO E COME...,63014.003309/2025-89,09/09/2025,08/03/2026,"R$ 123.870,00",
198849,00032/2023,Ativo,33.409.921/0001-61,UTIL REFRIGERACAO LTDA,33.409.921/0001-61 - UTIL REFRIGERACAO LTDA,63014.003092/2021-83,01/06/2023,01/06/2026,"R$ 4.901.687,84",
640744,00078/2025,Ativo,39.542.220/0001-82,ENGEPOM EQUIPAMENTOS PARA REF...,39.542.220/0001-82 - ENGEPOM EQUIPAMENTOS PARA REF...,63014.004878/2025-41,03/09/2025,29/08/2026,"R$ 3.886.000,00",
94777,00105/2020,Ativo,02.807.845/0001-19,ROMAO TECNOLOGIAS INDUSTRIAIS...,02.807.845/0001-19 - ROMAO TECNOLOGIAS INDUSTRIAIS...,63014.003358/2019-73,31/08/2020,31/08/2026,"R$ 2.375.446,44",
621253,00073/2025,Ativo,07.015.016/0017-84,CONCRELAGOS CONCRETO S/A,07.015.016/0017-84 - CONCRELAGOS CONCRETO S/A,63014.005135/2025-99,14/08/2025,10/02/2026,"R$ 149.976,00",
314316,00129/2024,Ativo,27.206.655/0001-77,SERV-CAL PECAS E SERVICOS TEC...,27.206.655/0001-77 - SERV-CAL PECAS E SERVICOS TEC...,63014.008604/2024-41,19/09/2024,19/09/2026,"R$ 848.125,00",
101347,00023/2021,Ativo,33.409.921/0001-61,UTIL REFRIGERACAO LTDA,33.409.921/0001-61 - UTIL REFRIGERACAO LTDA,63014.005635/2019-82,11/05/2021,11/05/2026,"R$ 2.527.346,80",
620978,00072/2025,Ativo,77.964.484/0001-13,METALURGICA CROACIA LTDA,77.964.484/0001-13 - METALURGICA CROACIA LTDA,63014.001454/2025-25,14/08/2025,13/08/2026,"R$ 2.067.000,00",
111294,00190/2020,Ativo,05.777.956/0001-18,TORSOLDA REPAROS NAVAIS E IND...,05.777.956/0001-18 - TORSOLDA REPAROS NAVAIS E IND...,63014.000022/2020-92,11/08/2021,11/08/2026,"R$ 4.211.590,00",
288325,00063/2024,Ativo,29.020.062/0001-47,AAE METALPARTES PRODUTOS E SE...,29.020.062/0001-47 - AAE METALPARTES PRODUTOS E SE...,63014.003164/2022-73,11/07/2024,30/12/2024,"R$ 290.000,00",
97652,00011/2021,Ativo,03.096.257/0001-87,DATAPOOL TECNOLOGIA LTDA,03.096.257/0001-87 - DATAPOOL TECNOLOGIA LTDA,63014.003557/2019-81,25/03/2021,25/03/2026,"R$ 7.440.631,88",
606477,00061/2025,Ativo,53.293.140/0001-61,BCA DEFESA E SEGURANCA LTDA,53.293.140/0001-61 - BCA DEFESA E SEGURANCA LTDA,63014.003444/2025-24,09/07/2025,04/07/2026,"R$ 5.174.518,00",
582391,00052/2025,Ativo,01.382.559/0001-96,PENSALAB EQUIPAMENTOS INDUSTR...,01.382.559/0001-96 - PENSALAB EQUIPAMENTOS INDUSTR...,63014.011416/2024-08,08/07/2025,07/07/2026,"R$ 173.792,61",
582244,00057/2025,Ativo,52.919.905/0001-63,BEST HYDRO COMERCIAL LTDA,52.919.905/0001-63 - BEST HYDRO COMERCIAL LTDA,63014.002640/2025-81,05/06/2025,02/12/2025,"R$ 236.000,77",
581068,00060/2025,Ativo,34.028.316/0002-94,EMPRESA BRASILEIRA DE CORREIO...,34.028.316/0002-94 - EMPRESA BRASILEIRA DE CORREIO...,63014.004060/2025-29,16/04/2025,15/04/2026,"R$ 11.571,00",
106819,00028/2021,Ativo,08.774.241/0001-08,MIL GERADORES LTDA,08.774.241/0001-08 - MIL GERADORES LTDA,63014.002995/2020-66,29/06/2021,29/06/2026,"R$ 530.609,62",
578423,00055/2025,Ativo,32.074.981/0001-08,TORTORA COMERCIO E SERVICOS L...,32.074.981/0001-08 - TORTORA COMERCIO E SERVICOS L...,63014.009218/2024-76,06/05/2025,06/01/2026,"R$ 164.524,60",
578340,00050/2025,Ativo,06.219.530/0001-01,NORTE SHOPPING BRASIL LTDA,06.219.530/0001-01 - NORTE SHOPPING BRASIL LTDA,63014.001828/2025-11,22/05/2025,16/05/2026,"R$ 7.899.000,00",
265653,00025/2024,Ativo,51.952.761/0001-84,51.952.761 KLINEY DA SILVA PE...,51.952.761/0001-84 - 51.952.761 KLINEY DA SILVA PE...,63014.003333/2024-37,30/04/2024,23/10/2025,"R$ 89.999,00",
299177,00040/2024,Ativo,27.816.487/0001-31,EMPRESA GERENCIAL DE PROJETOS...,27.816.487/0001-31 - EMPRESA GERENCIAL DE PROJETOS...,63014.003194/2024-41,08/05/2024,08/05/2026,"R$ 0,01",
146415,00019/2022,Ativo,05.775.501/0001-63,VESSEL COMERCIO E AUTOMACAO L...,05.775.501/0001-63 - VESSEL COMERCIO E AUTOMACAO L...,63014.001446/2021-55,18/05/2022,18/05/2026,"R$ 64.748.949,95",
145583,00007/2022,Ativo,05.775.501/0001-63,VESSEL COMERCIO E AUTOMACAO L...,05.775.501/0001-63 - VESSEL COMERCIO E AUTOMACAO L...,63014.003644/2020-72,11/05/2022,11/05/2026,"R$ 13.314.029,84",
94969,00031/2020,Ativo,33.060.278/0001-03,MAN ENERGY SOLUTIONS BRASIL E...,33.060.278/0001-03 - MAN ENERGY SOLUTIONS BRASIL E...,63014.005770/2019-28,27/04/2020,27/04/2026,"R$ 3.811.474,55",
94984,00041/2020,Ativo,34.151.100/0009-98,SOTREQ S/A,34.151.100/0009-98 - SOTREQ S/A,63014.004322/2019-15,22/04/2020,22/04/2026,"R$ 50.753.670,70",
479240,00192/2024,Ativo,00.064.702/0001-39,SKM ELETRO ELETRONICA LTDA,00.064.702/0001-39 - SKM ELETRO ELETRONICA LTDA,63014010668/2024-10,27/02/2025,26/02/2027,"R$ 58.802.000,00",
109212,00153/2019,Ativo,32.550.980/0001-92,TRANSUNIVERSAL PINTURAS E ANT...,32.550.980/0001-92 - TRANSUNIVERSAL PINTURAS E ANT...,63014.000487/2019-18,19/11/2019,19/11/2024,"R$ 12.237.833,67",
468304,00167/2024,Ativo,81.329.823/0001-67,SKA AUTOMACAO DE ENGENHARIAS...,81.329.823/0001-67 - SKA AUTOMACAO DE ENGENHARIAS...,63014.008280/2024-41,18/02/2025,09/04/2027,"R$ 121.000,00",
468086,00013/2025,Ativo,33.796.256/0001-06,ITA BOND-X INDUSTRIA COMERCIO...,33.796.256/0001-06 - ITA BOND-X INDUSTRIA COMERCIO...,63014.013157/2024-41,18/02/2025,17/02/2026,"R$ 537.425,55",
419427,00191/2024,Ativo,01.891.745/0001-50,ADRIK MATERIAIS E CONSTRUCOES...,01.891.745/0001-50 - ADRIK MATERIAIS E CONSTRUCOES...,63014.006774/2024-91,13/01/2025,12/07/2025,"R$ 119.000,00",
94874,00203/2019,Ativo,00.064.702/0001-39,SKM ELETRO ELETRONICA LTDA,00.064.702/0001-39 - SKM ELETRO ELETRONICA LTDA,63014.001816/2019-30,21/01/2020,21/07/2025,"R$ 9.631.929,78",
95153,00169/2019,Ativo,27.816.487/0001-31,EMPRESA GERENCIAL DE PROJETOS...,27.816.487/0001-31 - EMPRESA GERENCIAL DE PROJETOS...,63014.001878/2018-61,05/12/2019,05/12/2025,"R$ 22.402.143,04",
348103,00118/2024,Ativo,17.383.987/0001-73,SAUER DO BRASIL INDUSTRIA COM...,17.383.987/0001-73 - SAUER DO BRASIL INDUSTRIA COM...,63014.013433/2023-91,29/11/2024,28/11/2029,"R$ 6.959.850,00",
118920,00140/2020,Ativo,06.219.530/0001-01,NORTE SHOPPING BRASIL LTDA,06.219.530/0001-01 - NORTE SHOPPING BRASIL LTDA,63014.003884/2019-33,30/09/2020,30/09/2025,"R$ 2.357.056,82",
333136,00046/2024,Ativo,35.818.372/0001-04,MANUTECOM - MANUTENCAO DE INF...,35.818.372/0001-04 - MANUTECOM - MANUTENCAO DE INF...,63014.007495/2024-97,31/10/2024,18/11/2024,"R$ 10.998,00",
331544,00138/2024,Ativo,08.175.591/0001-40,TOTALCAD COMERCIO E SERVICOS...,08.175.591/0001-40 - TOTALCAD COMERCIO E SERVICOS...,63014008411/2024-90,31/10/2024,31/12/2025,"R$ 80.540,00",
324498,10021/2024,Ativo,35.818.372/0001-04,MANUTECOM - MANUTENCAO DE INF...,35.818.372/0001-04 - MANUTECOM - MANUTENCAO DE INF...,630140088692024-17,03/09/2024,02/12/2024,"R$ 6.747,50",
262778,00024/2024,Ativo,30.084.622/0001-06,NACIONAL INDUSTRIA MECANICA L...,30.084.622/0001-06 - NACIONAL INDUSTRIA MECANICA L...,63014.015845/2023-65,12/04/2024,15/10/2024,"R$ 655.000,00",
299445,00054/2024,Ativo,02.644.369/0001-62,CARLOS VENDAS - SERVIÇOS DE E...,02.644.369/0001-62 - CARLOS VENDAS - SERVIÇOS DE E...,63014003724/2024-51,19/07/2024,16/12/2024,"R$ 257.078,27",
117013,00134/2020,Ativo,96.513.486/0001-30,MEC Q COMERCIO E SERVICOS DE...,96.513.486/0001-30 - MEC Q COMERCIO E SERVICOS DE...,63014.003933/2019-38,29/09/2020,29/09/2025,"R$ 90.990,05",
293187,00069/2024,Ativo,00.064.702/0003-09,SKM ELETRO ELETRONICA LTDA,00.064.702/0003-09 - SKM ELETRO ELETRONICA LTDA,63014.004664/2024-94,26/07/2024,16/06/2026,"R$ 15.843.653,00",
