Codigo,Tipo,Descricao,Ativo,NatRendimento,DescRendimento,CodReceita,AliquotaPadrao,AliquotaTotal,AliquotaMaxima,IR,CSLL,COFINS,PIS
1160,DDR001,ISS,Sim,,Imposto Sobre Serviço (ISS),1160,5,,5,,,,
1234,DDF021,INSS,Sim,,Instituto Nacional do Seguro Social (INSS) ,1234,11,,,,,,
17001,DDF025,DARF,Sim,17001,Alimentação,6147,,5.85,,1.2,1,3,0.65
17002,DDF025,DARF,Sim,17002,Energia Elétrica,6147,,5.85,,1.2,1,3,0.65
17003,DDF025,DARF,Sim,17003,Serviços prestados com emprego de materiais,6147,,5.85,,1.2,1,3,0.65
17004,DDF025,DARF,Sim,17004,"Construção Civil por empreitada com emprego de
Materiais",6147,,5.85,,1.2,1,3,0.65
17005,DDF025,DARF,Sim,17005,"Serviços hospitalares de que trata o art. 30 da
Instrução Normativa RFB nº 1.234, de 11 de janeiro
De 2012",6147,,5.85,,1.2,1,3,0.65
17006,DDF025,DARF,Sim,17006,"Transporte de cargas, exceto os relacionados na
natureza de rendimento ""17017""",6147,,5.85,,1.2,1,3,0.65
17007,DDF025,DARF,Sim,17007,"Serviços de auxílio diagnóstico e terapia, patologia
clínica, imagenologia, anatomia patológica e
citopatológica, medicina nuclear e análises e
patologias clínicas, exames por métodos gráficos,
procedimentos endoscópicos, radioterapia,
quimioterapia, diálise e oxigenoterapia hiperbárica
de que trata o art. 31 e parágrafo único da Instrução
Normativa RFB nº 1.234, de 2012",6147,,5.85,,1.2,1,3,0.65
17008,DDF025,DARF,Sim,17008,"Produtos farmacêuticos, de perfumaria, de toucador
ou de higiene pessoal adquiridos de produtor,
importador, distribuidor ou varejista, exceto os
relacionados nas naturezas de rendimentos de
“17019"" a ""17022""",6147,,5.85,,1.2,1,3,0.65
17009,DDF025,DARF,Sim,17009,Mercadorias e bens em geral,6147,,5.85,,1.2,1,3,0.65
17010,DDF025,DARF,Sim,17010,"Gasolina, inclusive de aviação, óleo diesel, gás
liquefeito de petróleo (GLP), combustíveis
derivados de petróleo ou de gás natural, querosene
de aviação (QAV), e demais produtos derivados de
petróleo, adquiridos de refinarias de petróleo, de
demais produtores, de importadores, de distribuidor
ou varejista",9060,,"4,89",,"0,24",1,3,"0,65"
17011,DDF025,DARF,Sim,17011,"Álcool etílico hidratado, inclusive para fins
carburantes, adquirido diretamente de produtor,
importador ou do distribuidor",9060,,"4,89",,"0,24",1,3,"0,65"
17012,DDF025,DARF,Sim,17012,Biodiesel adquirido de produtor ou importador,9060,,"4,89",,"0,24",1,3,"0,65"
17013,DDF025,DARF,Sim,17013,"Gasolina, exceto gasolina de aviação, óleo diesel e
gás liquefeito de petróleo (GLP), derivados de
petróleo ou de gás natural e querosene de aviação
adquiridos de distribuidores e comerciantes
Varejistas",8739,,"1,24",,"0,24",1,0,0
17014,DDF025,DARF,Sim,17014,"Álcool etílico hidratado nacional, inclusive para fins
carburantes adquirido de comerciante varejista",8739,,"1,24",,"0,24",1,0,0
17015,DDF025,DARF,Sim,17015,"Biodiesel adquirido de distribuidores e comerciantes
Varejistas",8739,,"1,24",,"0,24",1,0,0
17016,DDF025,DARF,Sim,17016,"Biodiesel adquirido de produtor detentor regular do
selo “Combustível Social”, fabricado a partir de
mamona ou fruto, caroço ou amêndoa de palma
produzidos nas regiões norte e nordeste e no
semiárido, por agricultor familiar enquadrado no
Programa Nacional de Fortalecimento da
Agricultura Familiar (Pronaf)",8739,,"1,24",,"0,24",1,0,0
17017,DDF025,DARF,Sim,17017,"Transporte internacional de cargas efetuado por
empresas nacionais",8767,,"2,2",,"1,2",1,0,0
17018,DDF025,DARF,Sim,17018,"Estaleiros navais brasileiros nas atividades de
Construção, conservação, modernização, conversão
e reparo de embarcações pré-registradas ou
registradas no REB",8767,,"2,2",,"1,2",1,0,0
17019,DDF025,DARF,Sim,17019,"Produtos de perfumaria, de toucador e de higiene
pessoal a que se refere o § 1º do art. 22 da Instrução
Normativa RFB nº 1.234, de 2012, adquiridos de
distribuidores e de comerciantes varejistas",8767,,"2,2",,"1,2",1,0,0
17020,DDF025,DARF,Sim,17020,"Produtos a que se refere o § 2º do art. 22 da
Instrução Normativa RFB nº 1.234, de 2012",8767,,"2,2",,"1,2",1,0,0
17021,DDF025,DARF,Sim,17021,"Produtos de que tratam as alíneas “c” a “k” do
inciso I do art. 5º da Instrução Normativa RFB nº
1.234, de 2012",8767,,"2,2",,"1,2",1,0,0
17022,DDF025,DARF,Sim,17022,"Outros produtos ou serviços beneficiados com
isenção, não incidência ou Alíquotas zero da Cofins
e da Contribuição para o PIS/Pasep, observado o
disposto no § 5º do art. 2º da Instrução Normativa
RFB nº 1.234, de 2012",8767,,"2,2",,"1,2",1,0,0
17023,DDF025,DARF,Sim,17023,"Passagens aéreas, rodoviárias e demais serviços de
transporte de passageiros, inclusive, tarifa de
embarque, exceto transporte internacional de
passageiros, efetuado por empresas nacionais",6175,,"7,05",,"2,4",1,3,"0,65"
17024,DDF025,DARF,Sim,17024,"Transporte internacional de passageiros efetuado por
empresas nacionais",8850,,"3,4",,"2,4",1,0,0
17025,DDF025,DARF,Sim,17025,"Serviços prestados por associações profissionais ou
assemelhadas e cooperativas",8863,,"4,65",,0,1,3,"0,65"
17026,DDF025,DARF,Sim,17026,"Serviços prestados por bancos comerciais, bancos
de investimento, bancos de desenvolvimento, caixas
econômicas, sociedades de crédito, financiamento e
investimento, sociedades de crédito imobiliário, e
câmbio, distribuidoras de títulos e valores
mobiliários, empresas de arrendamento mercantil,
cooperativas de crédito, empresas de seguros
privados e de capitalização e entidades abertas de
previdência complementar.",6188,,"7,05",,"2,4",1,3,"0,65"
17027,DDF025,DARF,Sim,17027,Seguro Saúde,6188,,"7,05",,"2,4",1,3,"0,65"
17028,DDF025,DARF,Sim,17028,Serviços de abastecimento de água,6190,,"9,45",,"4,8",1,3,"0,65"
17029,DDF025,DARF,Sim,17029,Telefone,6190,,"9,45",,"4,8",1,3,"0,65"
17030,DDF025,DARF,Sim,17030,Correio e telégrafos,6190,,"9,45",,"4,8",1,3,"0,65"
17031,DDF025,DARF,Sim,17031,Vigilância,6190,,"9,45",,"4,8",1,3,"0,65"
17032,DDF025,DARF,Sim,17032,Limpeza,6190,,"9,45",,"4,8",1,3,"0,65"
17033,DDF025,DARF,Sim,17033,Locação de mão de obra,6190,,"9,45",,"4,8",1,3,"0,65"
17034,DDF025,DARF,Sim,17034,Intermediação de negócios;,6190,,"9,45",,"4,8",1,3,"0,65"
17035,DDF025,DARF,Sim,17035,"Administração, locação ou cessão de bens imóveis,
móveis e direitos de qualquer natureza",6190,,"9,45",,"4,8",1,3,"0,65"
17036,DDF025,DARF,Sim,17036,Factoring,6190,,"9,45",,"4,8",1,3,"0,65"
17037,DDF025,DARF,Sim,17037,"Plano de saúde humano, veterinário ou odontológico
com valores fixos por servidor, por empregado ou
por animal",6190,,"9,45",,"4,8",1,3,"0,65"
17038,DDF025,DARF,Sim,17038,"Pagamento efetuado a sociedade cooperativa pelo
fornecimento de bens, conforme art. 24, da IN
1234/12",8863,,"4,65",,0,1,3,"0,65"
17040,DDF025,DARF,Sim,17040,"Serviços prestados por associações profissionais ou
assemelhadas e cooperativas que envolver parcela
de serviços fornecidos por terceiros não cooperados
ou não associados, contratados ou conveniados, para
cumprimento de contratos – Serviços prestados com
emprego de materiais, inclusive o de que trata a
alínea “C” do Inciso II do art. 27 da IN 1.1234.",6147,,5.85,,1.2,1,3,0.65
17041,DDF025,DARF,Sim,17041,"Serviços prestados por associações profissionais ou
assemelhadas e cooperativas que envolver parcela
de serviços fornecidos por terceiros não cooperados
ou não associados, contratados ou conveniados, para
cumprimento de contratos - Demais serviços",6190,,"9,45",,"4,8",1,3,"0,65"
17042,DDF025,DARF,Sim,17042,"Pagamentos efetuados às associações e às
cooperativas de médicos e de odontólogos,
relativamente às importâncias recebidas a título de
comissão, taxa de administração ou de adesão ao
Plano",6190,,"9,45",,"4,8",1,3,"0,65"
17043,DDF025,DARF,Sim,17043,"Pagamento efetuado a sociedade cooperativa de
produção, em relação aos atos decorrentes da
comercialização ou de industrialização, pelas
cooperativas agropecuárias e de pesca, de produtos
adquiridos de não associados, agricultores,
pecuaristas ou pescadores, para completar lotes
destinados ao cumprimento de contratos ou para
suprir capacidade ociosa de suas instalações
industriais, conforme § 1º do art. 25, da IN 1234/12.",6147,,5.85,,1.2,1,3,0.65
17044,DDF025,DARF,Sim,17044,"Pagamento referente a aluguel de imóvel quando
efetuado à entidade aberta de previdência
complementar sem fins lucrativos, de que trata o art.
34, § 2º da IN 1.234/2012.",,,,,,,,
17045,DDF025,DARF,Sim,17045,"Serviços prestados por cooperativas de radiotáxi,
bem como àquelas cujos cooperados se dediquem a
serviços relacionados a atividades culturais e demais
cooperativas de serviços, conforme art. 5º–A, da IN
RFB 1.234/2012.",,,,,,,,
17046,DDF025,DARF,Sim,17046,"Pagamento efetuado na aquisição de bem imóvel,
quando o vendedor for pessoa jurídica que exerce a
atividade de compra e venda de imóveis, ou quando
se tratar de imóveis adquiridos de entidades abertas
de previdência complementar com fins lucrativos,
conforme art. 23, inc I, da IN RFB 1234/2012.",6147,,5.85,,1.2,1,3,0.65
17047,DDF025,DARF,Sim,17047,"Pagamento efetuado na aquisição de bem imóvel
adquirido pertencente ao ativo não circulante da
empresa vendedora, conforme art. 23, inc II da IN
RFB 1234/2012",8767,,"2,2",,"1,2",1,0,0
17048,DDF025,DARF,Sim,17048,"Pagamento efetuado na aquisição de bem imóvel
adquirido de entidade aberta de previdência
complementar sem fins lucrativos, conforme art. 23,
inc III, da IN RFB 1234/2012.",,,,,,,,
17049,DDF025,DARF,Sim,17049,"Propaganda e Publicidade, em desconformidade ao
art 16 da IN RFB 1234/2012, referente ao § 4º do
citado artigo",6190,,"9,45",,"4,8",1,3,"0,65"
17050,DDF025,DARF,Sim,17050,"Propaganda e Publicidade, em conformidade ao art
16 da IN RFB 1234/2012, referente ao § 4º do
citado artigo",8863,,,,,,,
17099,DDF025,DARF,Sim,17099,Demais serviços,6190,,"9,45",,"4,8",1,3,"0,65"
